date,Opera Solutions,Xooma,Gxav,SirGuessalot,Indy Actuaries,Soil,Perfect Storm,grisha,vyatka,vsu
ranks,10,9,8,7,6,5,4,3,2,1
scores,-0.000611,-0.00058,-0.000548,-0.000405,-0.000333,-0.000262,-0.000198,-0.000157,-0.000111,0.863904
20110917,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
20110918,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
20110919,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
20110920,-1,-1,-1,-1,-1,-1,2,-1,-1,1
20110921,-1,-1,-1,-1,-1,-1,2,-1,-1,1
20110922,-1,-1,-1,-1,-1,-1,2,-1,-1,1
20110923,-1,-1,-1,-1,-1,-1,2,-1,-1,1
20110924,-1,-1,1,-1,-1,-1,3,-1,-1,2
20110925,-1,-1,1,-1,-1,-1,3,-1,-1,2
20110926,-1,-1,1,-1,-1,-1,2,-1,-1,3
20110927,-1,-1,1,-1,-1,-1,2,-1,-1,3
20110928,-1,-1,2,-1,-1,-1,3,-1,-1,1
20110929,-1,-1,2,-1,-1,-1,3,-1,-1,1
20110930,-1,-1,2,-1,-1,-1,3,-1,-1,1
20111001,-1,-1,3,4,-1,-1,1,-1,-1,2
20111002,-1,-1,3,4,-1,-1,1,-1,-1,2
20111003,-1,-1,3,4,-1,-1,2,-1,-1,1
20111004,-1,-1,3,4,-1,-1,2,-1,-1,1
20111005,-1,-1,3,4,-1,-1,2,-1,-1,1
20111006,-1,-1,3,4,-1,-1,2,-1,-1,1
20111007,-1,-1,3,4,-1,-1,2,-1,-1,1
20111008,-1,-1,3,4,-1,-1,2,-1,-1,1
20111009,-1,-1,3,4,-1,-1,2,-1,-1,1
20111010,-1,-1,3,4,-1,-1,2,5,6,1
20111011,-1,-1,4,5,-1,-1,3,6,2,1
20111012,-1,-1,4,5,-1,-1,3,6,2,1
20111013,-1,-1,4,5,-1,-1,3,6,2,1
20111014,-1,-1,4,5,-1,-1,3,6,2,1
20111015,-1,-1,4,5,-1,-1,3,6,2,1
20111016,-1,-1,4,5,-1,-1,3,6,2,1
20111017,-1,-1,4,5,-1,-1,3,6,2,1
20111018,-1,-1,4,5,-1,-1,3,6,2,1
20111019,-1,-1,4,5,-1,-1,3,6,1,2
20111020,-1,-1,4,5,-1,-1,3,6,2,1
20111021,-1,-1,4,5,-1,-1,3,6,2,1
20111022,-1,-1,3,5,-1,-1,4,6,2,1
20111023,-1,-1,3,5,-1,-1,4,6,2,1
20111024,-1,-1,3,5,-1,-1,4,6,2,1
20111025,-1,-1,3,5,-1,-1,4,6,2,1
20111026,-1,-1,3,5,-1,-1,4,6,2,1
20111027,-1,-1,3,5,-1,-1,4,6,2,1
20111028,-1,5,3,6,-1,-1,4,7,2,1
20111029,-1,5,3,6,-1,-1,4,7,2,1
20111030,-1,5,3,6,-1,-1,4,7,2,1
20111031,-1,5,3,6,-1,-1,4,7,1,2
20111101,-1,5,3,6,-1,-1,4,7,1,2
20111102,-1,5,3,6,-1,-1,4,7,1,2
20111103,-1,5,3,6,-1,-1,4,7,1,2
20111104,-1,5,3,6,-1,-1,4,7,1,2
20111105,-1,5,3,6,-1,-1,4,7,1,2
20111106,-1,5,3,6,-1,-1,4,7,1,2
20111107,-1,4,3,6,-1,-1,5,7,1,2
20111108,-1,5,4,3,-1,-1,6,7,1,2
20111109,-1,6,4,3,-1,8,5,7,1,2
20111110,-1,6,4,3,-1,8,5,7,1,2
20111111,-1,6,4,3,-1,8,5,7,1,2
20111112,-1,6,4,3,-1,8,5,7,1,2
20111113,-1,6,4,3,-1,8,5,7,1,2
20111114,-1,6,4,3,-1,7,5,8,1,2
20111115,-1,6,4,3,-1,7,5,8,1,2
20111116,-1,6,4,3,-1,7,5,8,1,2
20111117,-1,6,4,3,-1,7,5,8,1,2
20111118,-1,6,4,3,-1,7,5,8,1,2
20111119,-1,6,4,3,-1,7,5,8,1,2
20111120,-1,6,4,3,-1,7,5,8,1,2
20111121,7,6,4,3,10,8,5,9,1,2
20111122,2,7,5,4,9,8,6,10,1,3
20111123,2,7,5,4,9,8,6,10,1,3
20111124,3,7,5,1,9,8,6,10,2,4
20111125,3,7,5,1,10,9,6,8,2,4
20111126,3,8,5,1,10,9,7,6,2,4
20111127,3,8,5,1,10,9,7,6,2,4
20111128,4,8,2,1,10,9,7,6,3,5
20111129,4,8,2,1,10,9,7,6,3,5
20111130,4,8,2,1,10,9,7,6,3,5
20111201,4,6,2,1,10,9,8,7,3,5
20111202,4,6,2,1,10,9,8,7,3,5
20111203,4,7,2,1,10,9,6,8,3,5
20111204,4,7,2,1,10,9,6,8,3,5
20111205,4,7,2,1,9,10,6,8,3,5
20111206,4,7,2,1,9,10,6,8,3,5
20111207,5,7,2,1,9,10,4,8,3,6
20111208,5,7,3,2,8,9,1,4,3,6
20111209,8,7,6,5,3,10,4,1,2,9
20111210,8,7,6,5,3,10,4,2,1,9
20111211,8,7,6,5,3,10,4,2,1,9
20111212,9,7,6,5,3,10,4,2,1,8
20111213,10,9,8,7,5,6,4,3,2,1
20111214,10,9,8,7,6,5,4,3,2,1
20111215,10,9,8,7,6,5,4,3,2,1
20111216,10,9,8,7,6,5,4,3,2,1
20111217,10,9,8,7,6,5,4,3,2,1
20111218,10,9,8,7,6,5,4,3,2,1
20111219,10,9,8,7,6,5,4,3,2,1
20111220,10,9,8,7,6,5,4,3,2,1
20111221,10,9,8,7,6,5,4,3,2,1
