date,"Opera Solutions","Xooma","Gxav","SirGuessalot","Indy Actuaries","Soil","Perfect Storm","grisha","vyatka","vsu"
ranks,10,9,8,7,6,5,4,3,2,1
scores,-0.000611,-0.000580,-0.000548,-0.000405,-0.000333,-0.000262,-0.000198,-0.000157,-0.000111, 0.863904
20110917,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
20110918,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
20110919,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
20110920,-1,-1,-1,-1,-1,-1,0.000808,-1,-1,0
20110921,-1,-1,-1,-1,-1,-1,0.001597,-1,-1,0
20110922,-1,-1,-1,-1,-1,-1,0.001597,-1,-1,0
20110923,-1,-1,-1,-1,-1,-1,0.000734,-1,-1,0
20110924,-1,-1,0,-1,-1,-1,0.000945,-1,-1,0.000234
20110925,-1,-1,0,-1,-1,-1,0.000338,-1,-1,0.000286
20110926,-1,-1,0,-1,-1,-1,0.000175,-1,-1,0.000286
20110927,-1,-1,0,-1,-1,-1,0.000144,-1,-1,0.000202
20110928,-1,-1,2.9e-005,-1,-1,-1,0.000105,-1,-1,0
20110929,-1,-1,2.9e-005,-1,-1,-1,0.000105,-1,-1,0
20110930,-1,-1,2.9e-005,-1,-1,-1,0.000105,-1,-1,0
20111001,-1,-1,9.9e-005,0.001167,-1,-1,0,-1,-1,7e-005
20111002,-1,-1,0.000132,0.0012,-1,-1,0,-1,-1,0.000103
20111003,-1,-1,0.000488,0.001556,-1,-1,0.000343,-1,-1,0
20111004,-1,-1,0.000488,0.001556,-1,-1,0.000343,-1,-1,0
20111005,-1,-1,0.000488,0.001309,-1,-1,0.000343,-1,-1,0
20111006,-1,-1,0.000488,0.001309,-1,-1,0.000343,-1,-1,0
20111007,-1,-1,0.000488,0.001094,-1,-1,0.000343,-1,-1,0
20111008,-1,-1,0.000488,0.001094,-1,-1,0.000343,-1,-1,0
20111009,-1,-1,0.000488,0.001094,-1,-1,0.000343,-1,-1,0
20111010,-1,-1,0.000488,0.001094,-1,-1,0.000343,0.00263,0.00332,0
20111011,-1,-1,0.000488,0.001094,-1,-1,0.000343,0.00231,0.000202,0
20111012,-1,-1,0.000488,0.001094,-1,-1,0.000343,0.00231,0.000202,0
20111013,-1,-1,0.000488,0.001094,-1,-1,0.000343,0.00231,4.7e-005,0
20111014,-1,-1,0.000488,0.001094,-1,-1,0.000257,0.00231,4.7e-005,0
20111015,-1,-1,0.000488,0.001094,-1,-1,0.000257,0.00231,4.7e-005,0
20111016,-1,-1,0.000488,0.001094,-1,-1,0.000119,0.00231,4.7e-005,0
